[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,770 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,771 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,771 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,970 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,984 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:41,986 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,002 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,093 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,097 INFO [Thread-13][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,097 INFO [Thread-13][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,098 INFO [Thread-13][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,109 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,111 INFO [Thread-13][EurekaServerBootstrap.java:184] - isAws returned false
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,112 INFO [Thread-13][EurekaServerBootstrap.java:152] - Initialized server context
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,112 INFO [Thread-13][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,112 INFO [Thread-13][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,112 INFO [Thread-13][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,133 INFO [Thread-13][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,145 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 53000 (http) with context path ''
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,146 INFO [main][EurekaAutoServiceRegistration.java:141] - Updating port to 53000
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:42,148 INFO [main][StartupInfoLogger.java:59] - Started DiscoveryServer in 6.72 seconds (JVM running for 8.075)
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:16:52,114 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2025-04-06 17:17:02,116 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
